column,group,dtype,non_null_sample,description
Higher Uncertainty,Prediction path,Float64,580,Stored/computed completed-candle research history field.
Higher Reliability,Regime standards,Float64,580,Stored/computed completed-candle research history field.
Higher Trust /10,Regime standards,Float64,580,Stored/computed completed-candle research history field.
Higher Rank,Regime standards,object,600,Stored/computed completed-candle research history field.
Higher Data-Quality Status,Regime standards,object,600,Stored/computed completed-candle research history field.
Entry Decision,Decision / protection,object,600,Stored/computed completed-candle research history field.
Entry Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
Entry Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
Buy Pressure,Decision / protection,object,600,Stored/computed completed-candle research history field.
Buy Pressure Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
Buy Pressure Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
Sell Pressure,Decision / protection,object,600,Stored/computed completed-candle research history field.
Sell Pressure Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
Sell Pressure Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
Net Pressure,Decision / protection,object,600,Stored/computed completed-candle research history field.
Net Pressure Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
Net Pressure Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
Pullback Readiness,Decision / protection,object,600,Stored/computed completed-candle research history field.
Pullback Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
Pullback Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
M1 Confirmation,Decision / protection,object,0,Stored/computed completed-candle research history field.
M1 Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
M1 Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
Master Decision,Decision / protection,object,600,Stored/computed completed-candle research history field.
Master Decision Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
Master Decision Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
Hold Safety,Decision / protection,object,600,Stored/computed completed-candle research history field.
Hold Safety Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
Hold Safety Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
TP Quality,Decision / protection,object,600,Stored/computed completed-candle research history field.
TP Quality Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
TP Quality Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
Direction Confirmation,Decision / protection,object,600,Stored/computed completed-candle research history field.
Direction Confirmation Trust /10,Decision / protection,Float64,587,Stored/computed completed-candle research history field.
Direction Confirmation Rank,Decision / protection,object,600,Stored/computed completed-candle research history field.
Original Production Direction,Decision / protection,object,0,Stored/computed completed-candle research history field.
Protective Action,Decision / protection,object,600,Stored/computed completed-candle research history field.
Protective Reason,Decision / protection,object,600,Stored/computed completed-candle research history field.
